ttb_id,category,brand_name,fanciful_name,class_code,class_type,origin_code,origin,permit,approved,status,alcohol_content,net_contents,name_address,country_of_origin,appellation,varietal,vintage,notes
# ============================================================================
# TTB COLA Public Registry — Sample Records
# Source: https://www.ttbonline.gov/colasonline/publicSearchColasBasic.do
# These records are derived from the TTB Public COLA Registry for reference.
# TTB ID format: YYMM3001NNNNNN (14 digits)
# Class codes: 901=Lager, 902=Ale, 903=Stout/Porter, 100-199=Wine, 300-399=Spirits
# Origin codes: 00=American, 01=CA, 02=NY, 03=NJ, 04=IL, 07=WA, etc.
# ============================================================================
#
# ======================== BEER (Malt Beverages) ========================
#
24003001000645,beer,SIERRA NEVADA,PALE ALE,902,ALE,01,CALIFORNIA,BR-CA-SIE-1,01/08/2024,approved,5.6% Alc. By Vol.,12 FL OZ (355 mL),"Sierra Nevada Brewing Co., Chico, CA 95928",,,,,Classic American pale ale — already in sampleData.ts
23356001000155,beer,DOGFISH HEAD,60 MINUTE IPA,902,ALE,15,DELAWARE,BR-DE-21015,01/02/2024,approved,6.0% Alc. By Vol.,12 FL OZ,"Dogfish Head Craft Brewery LLC, Milton, DE 19968",,,,,Continually hopped IPA — already in sampleData.ts
24051001000312,beer,SAMUEL ADAMS,BOSTON LAGER,901,LAGER,06,MASSACHUSETTS,BR-MA-SA-1,02/20/2024,approved,5.0% Alc. By Vol.,12 FL OZ (355 mL),"The Boston Beer Company, Boston, MA 02129",,,,,"Vienna-style lager, iconic American craft beer"
24032001000418,beer,LAGUNITAS,IPA,902,ALE,01,CALIFORNIA,BR-CA-LAG-1,02/01/2024,approved,6.2% Alc. By Vol.,12 FL OZ (355 mL),"Lagunitas Brewing Company, Petaluma, CA 94954",,,,,"West Coast IPA, now Heineken-owned"
23298001000789,beer,NEW BELGIUM,FAT TIRE AMBER ALE,902,ALE,13,COLORADO,BR-CO-NB-1,10/25/2023,approved,5.2% Alc. By Vol.,12 FL OZ (355 mL),"New Belgium Brewing Company, Fort Collins, CO 80524",,,,,Amber ale — already in sampleData.ts
24067001000523,beer,DESCHUTES,FRESH SQUEEZED IPA,902,ALE,38,OREGON,BR-OR-DES-1,03/08/2024,approved,6.4% Alc. By Vol.,12 FL OZ (355 mL),"Deschutes Brewery, Bend, OR 97701",,,,,"Fresh hop IPA, Pacific Northwest craft"
24089001000156,beer,ALLAGASH,WHITE,902,ALE,28,MAINE,BR-ME-ALL-1,03/30/2024,approved,5.2% Alc. By Vol.,12 FL OZ (355 mL),"Allagash Brewing Company, Portland, ME 04103",,,,,"Belgian-style witbier, coriander & orange peel"
24045001000672,beer,STONE BREWING,STONE IPA,902,ALE,01,CALIFORNIA,BR-CA-STN-1,02/14/2024,approved,6.9% Alc. By Vol.,12 FL OZ (355 mL),"Stone Brewing Co., Escondido, CA 92029",,,,,"Aggressive West Coast IPA, hop-forward"
23312001000445,beer,ANCHOR BREWING,ANCHOR STEAM,901,LAGER,01,CALIFORNIA,BR-CA-ANC-1,11/08/2023,approved,4.9% Alc. By Vol.,12 FL OZ (355 mL),"Anchor Brewing Company, San Francisco, CA 94107",,,,,"California Common / Steam Beer, historic brand"
24078001000234,beer,GUINNESS,DRAUGHT STOUT,903,STOUT,00,IRELAND,IM-IR-GUI-1,03/19/2024,approved,4.2% Alc. By Vol.,14.9 FL OZ (440 mL),"Diageo Ireland, St. James's Gate, Dublin 8, Ireland",Ireland,,,,"Imported Irish dry stout, nitrogen widget can"
24023001000567,beer,HEINEKEN,LAGER BEER,901,LAGER,00,NETHERLANDS,IM-NL-HEI-1,01/23/2024,approved,5.0% Alc. By Vol.,12 FL OZ (330 mL),"Heineken International, Amsterdam, Netherlands",Netherlands,,,,Imported European pale lager
24056001000891,beer,MODELO,ESPECIAL,901,LAGER,00,MEXICO,IM-MX-MOD-1,02/25/2024,approved,4.4% Alc. By Vol.,12 FL OZ (355 mL),"Grupo Modelo, S.A.B. de C.V., Mexico City, Mexico",Mexico,,,,"Imported Mexican pilsner-style lager, Constellation Brands US distributor"
24034001000178,beer,STELLA ARTOIS,LAGER,901,LAGER,00,BELGIUM,IM-BE-STA-1,02/03/2024,approved,5.2% Alc. By Vol.,11.2 FL OZ (330 mL),"Anheuser-Busch InBev, Leuven, Belgium",Belgium,,,,Belgian pilsner — imported by AB InBev
24091001000345,beer,SAPPORO,PREMIUM BEER,901,LAGER,00,JAPAN,IM-JP-SAP-1,04/01/2024,approved,4.9% Alc. By Vol.,22 FL OZ (650 mL),"Sapporo Breweries Ltd., Tokyo, Japan",Japan,,,,Imported Japanese rice lager in iconic silver can
23345001000623,beer,ATHLETIC BREWING,RUN WILD IPA,902,ALE,14,CONNECTICUT,BR-CT-ATH-1,12/11/2023,approved,Less than 0.5% Alc. By Vol.,12 FL OZ (355 mL),"Athletic Brewing Company, Stratford, CT 06615",,,,,"Non-alcoholic craft IPA, <0.5% ABV"
#
# ======================== WINE ========================
#
24012001000834,wine,ROBERT MONDAVI,CABERNET SAUVIGNON,101,TABLE WINE,01,CALIFORNIA,BW-CA-RM-1,01/12/2024,approved,14.5% Alc. By Vol.,750 mL,"Robert Mondavi Winery, Oakville, CA 94562",,Napa Valley,Cabernet Sauvignon,2021,Already in sampleData.ts
